"agency_cd","site_no","Date","Flow","Flow_cd","Year","Month","Day","WaterYear"
"USGS","07288500",2009-10-01,1560,"A",2009,10,1,"2010"
"USGS","07288500",2009-10-02,945,"A",2009,10,2,"2010"
"USGS","07288500",2009-10-03,533,"A",2009,10,3,"2010"
"USGS","07288500",2009-10-04,640,"A",2009,10,4,"2010"
"USGS","07288500",2009-10-05,2210,"A",2009,10,5,"2010"
"USGS","07288500",2009-10-06,3120,"A",2009,10,6,"2010"
"USGS","07288500",2009-10-07,3780,"A",2009,10,7,"2010"
"USGS","07288500",2009-10-08,4060,"A",2009,10,8,"2010"
"USGS","07288500",2009-10-09,3960,"A",2009,10,9,"2010"
"USGS","07288500",2009-10-10,3910,"A",2009,10,10,"2010"
"USGS","07288500",2009-10-11,3640,"A",2009,10,11,"2010"
"USGS","07288500",2009-10-12,3780,"A",2009,10,12,"2010"
"USGS","07288500",2009-10-13,4760,"A",2009,10,13,"2010"
"USGS","07288500",2009-10-14,5850,"A",2009,10,14,"2010"
"USGS","07288500",2009-10-15,6340,"A",2009,10,15,"2010"
"USGS","07288500",2009-10-16,6550,"A",2009,10,16,"2010"
"USGS","07288500",2009-10-17,6570,"A",2009,10,17,"2010"
"USGS","07288500",2009-10-18,6460,"A",2009,10,18,"2010"
"USGS","07288500",2009-10-19,6270,"A",2009,10,19,"2010"
"USGS","07288500",2009-10-20,5980,"A",2009,10,20,"2010"
"USGS","07288500",2009-10-21,5600,"A",2009,10,21,"2010"
"USGS","07288500",2009-10-22,5130,"A",2009,10,22,"2010"
"USGS","07288500",2009-10-23,5030,"A",2009,10,23,"2010"
"USGS","07288500",2009-10-24,4910,"A",2009,10,24,"2010"
"USGS","07288500",2009-10-25,4660,"A",2009,10,25,"2010"
"USGS","07288500",2009-10-26,4320,"A",2009,10,26,"2010"
"USGS","07288500",2009-10-27,3920,"A",2009,10,27,"2010"
"USGS","07288500",2009-10-28,3600,"A",2009,10,28,"2010"
"USGS","07288500",2009-10-29,3320,"A",2009,10,29,"2010"
"USGS","07288500",2009-10-30,3430,"A",2009,10,30,"2010"
"USGS","07288500",2009-10-31,4660,"A",2009,10,31,"2010"
"USGS","07288500",2009-11-01,5270,"A",2009,11,1,"2010"
"USGS","07288500",2009-11-02,5420,"A",2009,11,2,"2010"
"USGS","07288500",2009-11-03,5420,"A",2009,11,3,"2010"
"USGS","07288500",2009-11-04,5280,"A",2009,11,4,"2010"
"USGS","07288500",2009-11-05,4980,"A",2009,11,5,"2010"
"USGS","07288500",2009-11-06,4490,"A",2009,11,6,"2010"
"USGS","07288500",2009-11-07,3880,"A",2009,11,7,"2010"
"USGS","07288500",2009-11-08,3200,"A",2009,11,8,"2010"
"USGS","07288500",2009-11-09,2690,"A",2009,11,9,"2010"
"USGS","07288500",2009-11-10,2140,"A",2009,11,10,"2010"
"USGS","07288500",2009-11-11,1450,"A",2009,11,11,"2010"
"USGS","07288500",2009-11-12,893,"A",2009,11,12,"2010"
"USGS","07288500",2009-11-13,562,"A",2009,11,13,"2010"
"USGS","07288500",2009-11-14,381,"A",2009,11,14,"2010"
"USGS","07288500",2009-11-15,292,"A",2009,11,15,"2010"
"USGS","07288500",2009-11-16,238,"A",2009,11,16,"2010"
"USGS","07288500",2009-11-17,207,"A",2009,11,17,"2010"
"USGS","07288500",2009-11-18,184,"A",2009,11,18,"2010"
"USGS","07288500",2009-11-19,168,"A",2009,11,19,"2010"
"USGS","07288500",2009-11-20,147,"A",2009,11,20,"2010"
"USGS","07288500",2009-11-21,129,"A",2009,11,21,"2010"
"USGS","07288500",2009-11-22,109,"A",2009,11,22,"2010"
"USGS","07288500",2009-11-23,95.2,"A",2009,11,23,"2010"
"USGS","07288500",2009-11-24,85.2,"A",2009,11,24,"2010"
"USGS","07288500",2009-11-25,72.5,"A",2009,11,25,"2010"
"USGS","07288500",2009-11-26,59.3,"A",2009,11,26,"2010"
"USGS","07288500",2009-11-27,51,"A",2009,11,27,"2010"
"USGS","07288500",2009-11-28,48.5,"A",2009,11,28,"2010"
"USGS","07288500",2009-11-29,51.9,"A",2009,11,29,"2010"
"USGS","07288500",2009-11-30,494,"A",2009,11,30,"2010"
"USGS","07288500",2009-12-01,1840,"A",2009,12,1,"2010"
"USGS","07288500",2009-12-02,2460,"A",2009,12,2,"2010"
"USGS","07288500",2009-12-03,2700,"A",2009,12,3,"2010"
"USGS","07288500",2009-12-04,2700,"A",2009,12,4,"2010"
"USGS","07288500",2009-12-05,2520,"A",2009,12,5,"2010"
"USGS","07288500",2009-12-06,2170,"A",2009,12,6,"2010"
"USGS","07288500",2009-12-07,1660,"A",2009,12,7,"2010"
"USGS","07288500",2009-12-08,1360,"A",2009,12,8,"2010"
"USGS","07288500",2009-12-09,1980,"A",2009,12,9,"2010"
"USGS","07288500",2009-12-10,2660,"A",2009,12,10,"2010"
"USGS","07288500",2009-12-11,3090,"A",2009,12,11,"2010"
"USGS","07288500",2009-12-12,3360,"A",2009,12,12,"2010"
"USGS","07288500",2009-12-13,3780,"A",2009,12,13,"2010"
"USGS","07288500",2009-12-14,4070,"A",2009,12,14,"2010"
"USGS","07288500",2009-12-15,4190,"A",2009,12,15,"2010"
"USGS","07288500",2009-12-16,4160,"A",2009,12,16,"2010"
"USGS","07288500",2009-12-17,4000,"A",2009,12,17,"2010"
"USGS","07288500",2009-12-18,3730,"A",2009,12,18,"2010"
"USGS","07288500",2009-12-19,3290,"A",2009,12,19,"2010"
"USGS","07288500",2009-12-20,2760,"A",2009,12,20,"2010"
"USGS","07288500",2009-12-21,2240,"A",2009,12,21,"2010"
"USGS","07288500",2009-12-22,1800,"A e",2009,12,22,"2010"
"USGS","07288500",2009-12-23,1590,"A",2009,12,23,"2010"
"USGS","07288500",2009-12-24,2650,"A",2009,12,24,"2010"
"USGS","07288500",2009-12-25,4170,"A",2009,12,25,"2010"
"USGS","07288500",2009-12-26,4820,"A",2009,12,26,"2010"
"USGS","07288500",2009-12-27,4990,"A",2009,12,27,"2010"
"USGS","07288500",2009-12-28,4950,"A",2009,12,28,"2010"
"USGS","07288500",2009-12-29,4780,"A",2009,12,29,"2010"
"USGS","07288500",2009-12-30,4460,"A",2009,12,30,"2010"
"USGS","07288500",2009-12-31,4120,"A",2009,12,31,"2010"
"USGS","07288500",2010-01-01,3760,"A",2010,1,1,"2010"
"USGS","07288500",2010-01-02,3250,"A",2010,1,2,"2010"
"USGS","07288500",2010-01-03,2590,"A",2010,1,3,"2010"
"USGS","07288500",2010-01-04,1880,"A",2010,1,4,"2010"
"USGS","07288500",2010-01-05,1230,"A",2010,1,5,"2010"
"USGS","07288500",2010-01-06,783,"A",2010,1,6,"2010"
"USGS","07288500",2010-01-07,526,"A",2010,1,7,"2010"
"USGS","07288500",2010-01-08,387,"A",2010,1,8,"2010"
"USGS","07288500",2010-01-09,304,"A",2010,1,9,"2010"
"USGS","07288500",2010-01-10,243,"A",2010,1,10,"2010"
"USGS","07288500",2010-01-11,206,"A",2010,1,11,"2010"
"USGS","07288500",2010-01-12,188,"A",2010,1,12,"2010"
"USGS","07288500",2010-01-13,180,"A",2010,1,13,"2010"
"USGS","07288500",2010-01-14,167,"A",2010,1,14,"2010"
"USGS","07288500",2010-01-15,152,"A",2010,1,15,"2010"
"USGS","07288500",2010-01-16,173,"A",2010,1,16,"2010"
"USGS","07288500",2010-01-17,1440,"A",2010,1,17,"2010"
"USGS","07288500",2010-01-18,2480,"A",2010,1,18,"2010"
"USGS","07288500",2010-01-19,2630,"A",2010,1,19,"2010"
"USGS","07288500",2010-01-20,2540,"A",2010,1,20,"2010"
"USGS","07288500",2010-01-21,3330,"A",2010,1,21,"2010"
"USGS","07288500",2010-01-22,3890,"A",2010,1,22,"2010"
"USGS","07288500",2010-01-23,4060,"A",2010,1,23,"2010"
"USGS","07288500",2010-01-24,4520,"A",2010,1,24,"2010"
"USGS","07288500",2010-01-25,4890,"A",2010,1,25,"2010"
"USGS","07288500",2010-01-26,4870,"A",2010,1,26,"2010"
"USGS","07288500",2010-01-27,4600,"A",2010,1,27,"2010"
"USGS","07288500",2010-01-28,4120,"A",2010,1,28,"2010"
"USGS","07288500",2010-01-29,3770,"A",2010,1,29,"2010"
"USGS","07288500",2010-01-30,4470,"A",2010,1,30,"2010"
"USGS","07288500",2010-01-31,4660,"A",2010,1,31,"2010"
"USGS","07288500",2010-02-01,4490,"A",2010,2,1,"2010"
"USGS","07288500",2010-02-02,4140,"A",2010,2,2,"2010"
"USGS","07288500",2010-02-03,3600,"A",2010,2,3,"2010"
"USGS","07288500",2010-02-04,3070,"A",2010,2,4,"2010"
"USGS","07288500",2010-02-05,3180,"A",2010,2,5,"2010"
"USGS","07288500",2010-02-06,3360,"A",2010,2,6,"2010"
"USGS","07288500",2010-02-07,3220,"A",2010,2,7,"2010"
"USGS","07288500",2010-02-08,2990,"A",2010,2,8,"2010"
"USGS","07288500",2010-02-09,2890,"A",2010,2,9,"2010"
"USGS","07288500",2010-02-10,3010,"A",2010,2,10,"2010"
"USGS","07288500",2010-02-11,3060,"A",2010,2,11,"2010"
"USGS","07288500",2010-02-12,3010,"A",2010,2,12,"2010"
"USGS","07288500",2010-02-13,2850,"A",2010,2,13,"2010"
"USGS","07288500",2010-02-14,2600,"A",2010,2,14,"2010"
"USGS","07288500",2010-02-15,2260,"A",2010,2,15,"2010"
"USGS","07288500",2010-02-16,1810,"A",2010,2,16,"2010"
"USGS","07288500",2010-02-17,1290,"A",2010,2,17,"2010"
"USGS","07288500",2010-02-18,909,"A",2010,2,18,"2010"
"USGS","07288500",2010-02-19,681,"A",2010,2,19,"2010"
"USGS","07288500",2010-02-20,577,"A",2010,2,20,"2010"
"USGS","07288500",2010-02-21,511,"A",2010,2,21,"2010"
"USGS","07288500",2010-02-22,788,"A",2010,2,22,"2010"
"USGS","07288500",2010-02-23,905,"A",2010,2,23,"2010"
"USGS","07288500",2010-02-24,967,"A",2010,2,24,"2010"
"USGS","07288500",2010-02-25,804,"A",2010,2,25,"2010"
"USGS","07288500",2010-02-26,580,"A",2010,2,26,"2010"
"USGS","07288500",2010-02-27,416,"A",2010,2,27,"2010"
"USGS","07288500",2010-02-28,324,"A",2010,2,28,"2010"
"USGS","07288500",2010-03-01,249,"A",2010,3,1,"2010"
"USGS","07288500",2010-03-02,177,"A",2010,3,2,"2010"
"USGS","07288500",2010-03-03,132,"A",2010,3,3,"2010"
"USGS","07288500",2010-03-04,108,"A",2010,3,4,"2010"
"USGS","07288500",2010-03-05,102,"A",2010,3,5,"2010"
"USGS","07288500",2010-03-06,101,"A",2010,3,6,"2010"
"USGS","07288500",2010-03-07,111,"A",2010,3,7,"2010"
"USGS","07288500",2010-03-08,118,"A",2010,3,8,"2010"
"USGS","07288500",2010-03-09,143,"A",2010,3,9,"2010"
"USGS","07288500",2010-03-10,172,"A",2010,3,10,"2010"
"USGS","07288500",2010-03-11,168,"A",2010,3,11,"2010"
"USGS","07288500",2010-03-12,148,"A",2010,3,12,"2010"
"USGS","07288500",2010-03-13,128,"A",2010,3,13,"2010"
"USGS","07288500",2010-03-14,150,"A",2010,3,14,"2010"
"USGS","07288500",2010-03-15,177,"A",2010,3,15,"2010"
"USGS","07288500",2010-03-16,160,"A",2010,3,16,"2010"
"USGS","07288500",2010-03-17,127,"A",2010,3,17,"2010"
"USGS","07288500",2010-03-18,82,"A e",2010,3,18,"2010"
"USGS","07288500",2010-03-19,68,"A",2010,3,19,"2010"
"USGS","07288500",2010-03-20,61.5,"A",2010,3,20,"2010"
"USGS","07288500",2010-03-21,78.1,"A",2010,3,21,"2010"
"USGS","07288500",2010-03-22,104,"A",2010,3,22,"2010"
"USGS","07288500",2010-03-23,123,"A",2010,3,23,"2010"
"USGS","07288500",2010-03-24,127,"A",2010,3,24,"2010"
"USGS","07288500",2010-03-25,127,"A",2010,3,25,"2010"
"USGS","07288500",2010-03-26,110,"A",2010,3,26,"2010"
"USGS","07288500",2010-03-27,88.3,"A",2010,3,27,"2010"
"USGS","07288500",2010-03-28,79.6,"A",2010,3,28,"2010"
"USGS","07288500",2010-03-29,80.5,"A",2010,3,29,"2010"
"USGS","07288500",2010-03-30,137,"A",2010,3,30,"2010"
"USGS","07288500",2010-03-31,339,"A",2010,3,31,"2010"
"USGS","07288500",2010-04-01,328,"A",2010,4,1,"2010"
"USGS","07288500",2010-04-02,228,"A",2010,4,2,"2010"
"USGS","07288500",2010-04-03,256,"A",2010,4,3,"2010"
"USGS","07288500",2010-04-04,390,"A",2010,4,4,"2010"
"USGS","07288500",2010-04-05,477,"A",2010,4,5,"2010"
"USGS","07288500",2010-04-06,593,"A",2010,4,6,"2010"
"USGS","07288500",2010-04-07,534,"A",2010,4,7,"2010"
"USGS","07288500",2010-04-08,462,"A",2010,4,8,"2010"
"USGS","07288500",2010-04-09,633,"A",2010,4,9,"2010"
"USGS","07288500",2010-04-10,615,"A",2010,4,10,"2010"
"USGS","07288500",2010-04-11,510,"A",2010,4,11,"2010"
"USGS","07288500",2010-04-12,370,"A",2010,4,12,"2010"
"USGS","07288500",2010-04-13,239,"A",2010,4,13,"2010"
"USGS","07288500",2010-04-14,150,"A",2010,4,14,"2010"
"USGS","07288500",2010-04-15,98.6,"A",2010,4,15,"2010"
"USGS","07288500",2010-04-16,75.3,"A",2010,4,16,"2010"
"USGS","07288500",2010-04-17,65.3,"A",2010,4,17,"2010"
"USGS","07288500",2010-04-18,57.3,"A",2010,4,18,"2010"
"USGS","07288500",2010-04-19,51.3,"A",2010,4,19,"2010"
"USGS","07288500",2010-04-20,43.7,"A",2010,4,20,"2010"
"USGS","07288500",2010-04-21,37.3,"A",2010,4,21,"2010"
